,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
EFHB,30.28173457567827,1.7177969088476388,0.30012506857748866,5.723603552977195,1.0428795160974847e-08,7.193828244628106e-06
CTLA4,3.3109121516455895,-2.466513543510327,0.6972392217367456,-3.537542735141198,0.0004038688227937674,0.026979287612776914
DNAJC5G,8.580214620940307,-1.5416747853271946,0.43932263681251477,-3.5092086228762196,0.00044944221615193455,0.028412179194489216
CAMKV,44.57495386832159,1.2789759418618185,0.370799164931203,3.449241699611475,0.0005621632732586199,0.03320430041196029
NPY5R,4.835832942871677,3.974323087013609,1.017335859896462,3.9065988369053373,9.360436552372501e-05,0.009643377020887398
SHH,179.08648785045844,-1.9525788034658247,0.40298479249503555,-4.845291534146116,1.2642589704187211e-06,0.0003714463091699671
SOX17,3.0440687228155268,1.886813426610188,0.5019103443240253,3.7592638764027773,0.00017041402644613144,0.014654220794477498
BAALC,37.97071086335332,2.2077803699229297,0.4125083933231635,5.352085934875343,8.694608796565348e-08,4.3311549352466375e-05
DIRAS2,66.96931427318168,-2.534018681756002,0.5444397942033948,-4.65435978180781,3.249889062754976e-06,0.0007871925942769324
PCDH19,72.61637664263988,-1.9725521566591984,0.3958743101461299,-4.982773840341057,6.267919447804896e-07,0.00020935510736662857
SLC7A3,3.8096458106890743,-2.489411659543645,0.5887271188601204,-4.228464393424895,2.352917439977635e-05,0.003424790059079373
TSHR,4.540908104585288,-1.2906319890593396,0.2968370927950286,-4.34794714133164,1.3741771097118059e-05,0.002282932663259964
OTOGL,65.14507423497896,1.274879800851108,0.3787145330204234,3.366334507111075,0.0007617427426486375,0.04174587040929864
CACNB2,159.37703317742287,1.0477443006798604,0.2244145598522911,4.668789321733323,3.0297987707507907e-06,0.0007395272676514873
PASD1,125.226507876455,5.737523750076517,0.6298234874552037,9.109732908277097,8.25850307702524e-20,4.3675093522847983e-16
SYNPO2L,12.998278111230052,1.5611848985568686,0.3491383882928731,4.471536075395055,7.765975584416851e-06,0.0015033178585741385
CRABP1,29.62113549624385,-2.024603555708703,0.4898978956540692,-4.132705148703747,3.5851852328227825e-05,0.004700888951351228
HTR3A,48.443471318537064,-3.0331452767822276,0.513404084223712,-5.9079102990940715,3.464745772085425e-09,3.0538846692789617e-06
PIP4K2C,6672.057885443627,0.6379266645403582,0.17487700141770218,3.647859120231822,0.0002644345574354638,0.019515743859734362
NYAP1,130.997478233004,1.2332675493795529,0.2831782365805082,4.355092977030147,1.3301044941645488e-05,0.002221344510754489
OR51E2,30.117354426522493,3.3583122162926298,0.839555197113145,4.000108900332419,6.331334170175043e-05,0.007131860104167388
JSRP1,98.6257384459153,-1.2624720149674262,0.2694556146186383,-4.6852689143412665,2.7959259374850896e-06,0.0006877327590879021
AQP2,3.729503799493158,-1.9653750729798853,0.5446558808279413,-3.6084712240548713,0.00030800666993036215,0.021864339247338528
ATCAY,24.663809829735513,2.0422690188045967,0.46764646075961563,4.367121725859451,1.2589457226952123e-05,0.002127940425853606
KLK4,5.107840174045903,2.640114696440832,0.6215642323218978,4.247533173809718,2.161371690864707e-05,0.003235022883152265
BMI1,5761.265321157719,0.6027270863755742,0.17578618889846076,3.428751087627976,0.0006063653623700401,0.03549922382539436
LGI3,18.588593288898622,1.026376579902935,0.31210013712192314,3.2886130373661993,0.001006823454605774,0.048774832119230255
MUCL3,25.36605427459146,1.200074849343141,0.3553790453925507,3.376886918072341,0.0007331118301289997,0.040597506949080785
